;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Biobränslen;92;97;102;102;106;116;109;116;114;114;120;124;129
Vattenkraft;68;68;69;67;68;68;69;69;68;65;67;66;66
Vindkraft;1;1;1;2;3;4;6;7;9;11;14;16;17
Värmepumpar;7;8;9;10;11;11;14;14;14;14;14;16;16
Solenergi;0;0;0;0;0;0;0;0;0;0;0;0;0
Totalt;168;174;181;181;188;199;197;206;206;205;215;222;229
Statistisk överföring till Norge;;;;;;;;0;2;3;4;5;5
Förnybar energi i målberäkning;168;174;182;182;188;199;197;208;206;204;210;217;223
Total energianvändning;414;409;411;402;391;422;405;406;397;389;394;409;410
